,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R
74,8,15,Female,1,1,,,NA,NA,NA,NA,NA,0,0,3,4,4,4,5,5,5,4.3,5,3,2,4,5,6,4.2,7,6,6,5,2,5.2,4.3,4.2,5.2,NA,NA,0,4.4
75,8,13,Female,1,1,,,NA,NA,NA,NA,NA,0,0,2,1,1,1,1,1,1,1.1,4,5,1,4,1,3,3,4,2,6,4,3,3.8,1.1,3,3.8,NA,NA,0,1.2
76,8,14,Female,1,1,,,NA,NA,NA,NA,NA,0,0,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2.3,3,3,3,3,3,3,4,2.3,3,NA,NA,0,4
77,8,15,Male,1,1,,,NA,NA,NA,NA,NA,0,0,4,2,2,4,2,3,1,2.6,5,1,1,2,1,2,2,3,1,2,2,4,2.4,2.6,2,2.4,NA,NA,0,2.4
78,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,2,2,2,2,1,2,1,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1.7,1,1,NA,NA,0,1.6
79,8,14,Male,1,1,,,NA,NA,NA,NA,NA,0,0,5,5,7,7,5,4,3,5.1,4,3,5,4,3,4,3.8,2,2,3,2,4,2.6,5.1,3.8,2.6,NA,NA,0,4.4
80,8,13,Female,1,1,,,NA,NA,NA,NA,NA,0,0,5,6,6,6,5,6,5,5.6,6,6,6,6,5,6,5.8,5,6,6,6,6,5.8,5.6,5.8,5.8,NA,NA,0,5.4
81,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,6,7,7,7,6,6,6,6.4,6,4,5,5,3,5,4.7,5,5,5,5,5,5,6.4,4.7,5,NA,NA,0,6.2
82,8,14,Female,1,1,,,NA,NA,NA,NA,NA,0,0,3,3,1,1,1,7,5,3,5,7,6,4,3,4,4.8,3,7,6,5,4,5,3,4.8,5,NA,NA,0,3.8
83,8,13,Male,1,1,,,NA,NA,NA,NA,NA,0,0,1,4,1,5,2,4,1,2.6,5,2,2,6,2,2,3.2,1,1,5,5,1,2.6,2.6,3.2,2.6,NA,NA,0,2.4
