,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,DBN_Total_N,DBN_POMP_N,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R,PerfAndControl
201,7,13,1,0,0,1,1,0,0,1,0,3,50,,,1,3,1,7,7,2,1,1,3.1,3,1,1,1,1,1,1.3,1,6,3,3,3,3.2,3.1,1.3,3.2,1,1,2,1.6,2
202,7,13,0,1,1,1,1,0,0,1,0,3,50,,,1,5,4,5,4,5,2,3,4,5,5,4,4,3,4,4.2,4,2,1,1,1,1.8,4,4.2,1.8,1,1,2,3.8,2
203,7,13,1,1,2,1,1,0,0,1,0,3,50,,,1,5,2,4,4,2,3,2,3.1,3,1,2,3,4,2,2.5,1,1,2,1,1,1.2,3.1,2.5,1.2,1,1,2,2.8,2
204,7,13,1,1,1,1,1,0,0,1,0,3,50,,,1,3,3,3,5,3,2,2,3,5,2,3,4,3,2,3.2,2,4,2,4,2,2.8,3,3.2,2.8,1,1,2,2.6,2
205,6,11,0,1,1,0,0,1,1,1,0,3,50,,,1,6,6,7,4,7,7,7,6.3,7,7,7,7,7,7,7,4,3,4,2,2,3,6.3,7,3,1,1,2,6.6,2
206,7,12,0,1,1,1,1,0,0,1,0,3,50,,,1,7,7,1,1,7,7,7,5.3,7,7,7,7,7,7,7,7,7,7,7,7,7,5.3,7,7,1,1,2,7,2
207,7,12,0,1,2,1,1,0,0,1,0,3,50,,,1,5,6,NA,NA,7,6,7,6.2,5,6,7,7,7,7,6.5,7,5,5,7,7,6.2,6.2,6.5,6.2,1,1,2,6.2,2
208,7,12,1,1,1,1,1,0,0,1,0,3,50,,,1,6,4,6,4,4,3,4,4.4,2,3,2,1,1,2,1.8,3,2,2,1,2,2,4.4,1.8,2,1,1,2,4.2,2
209,6,11,0,1,3,0,1,0,0,1,1,3,50,,,1,7,5,3,4,6,7,6,5.4,6,3,4,1,5,1,3.3,7,7,7,7,7,7,5.4,3.3,7,1,1,2,6.2,2
210,7,12,0,1,1,1,1,0,0,1,0,3,50,,,1,4,3,6,6,2,4,4,4.1,4,4,3,3,4,3,3.5,2,2,2,3,4,2.6,4.1,3.5,2.6,1,1,2,3.4,2
211,7,12,0,1,2,1,1,1,0,1,0,4,67,,,1,7,6,7,7,7,7,6,6.7,7,6,6,7,7,7,6.7,7,5,5,7,5,5.8,6.7,6.7,5.8,1,1,3,6.6,2
212,7,12,0,1,2,1,0,0,1,1,1,4,67,,,1,6,4,6,5,6,7,7,5.9,5,4,1,5,3,6,4,4,3,5,6,5,4.6,5.9,4,4.6,1,1,3,6,2
213,7,12,0,1,2,1,1,0,1,1,0,4,67,,,1,6,6,6,6,6,6,6,6,6,2,6,2,1,4,3.5,6,5,7,7,7,6.4,6,3.5,6.4,1,1,3,6,2
214,7,12,0,1,1,0,1,1,1,1,0,4,67,,,1,6,6,6,7,6,7,7,6.4,7,7,7,7,2,7,6.2,7,6,7,7,7,6.8,6.4,6.2,6.8,1,1,3,6.4,2
215,6,12,0,1,2,1,1,1,0,1,0,4,67,,,1,5,4,6,7,6,7,6,5.9,6,7,1,7,4,7,5.3,7,5,7,7,4,6,5.9,5.3,6,1,1,3,5.6,2
216,8,15,0,0,0,0,1,1,1,1,1,5,83,,,1,7,6,1,1,4,7,7,4.7,5,6,4,5,4,5,4.8,5,5,6,7,6,5.8,4.7,4.8,5.8,1,1,3,6.2,2
