Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
6,11,M,Y,Some,Doctor (educational),College,Y,Y,0,0,0,0,0,0,0,0,4,3,3,4,3,4,4,3.6,2,1,2,2,1,2,1.7,3,3,3,3,3,3
6,11,M,Y,Some,College,College,Y,Y,0,0,1,0,0,0,1,17,1,1,1,1,1,1,1,1.0,4,1,1,3,1,2,2.0,1,1,1,2,1,1.2
6,11,F,Y,A little bit,College,College,Y,Y,0,1,0,0,1,0,2,33,1,1,7,1,1,1,1,1.9,1,1,1,1,2,3,1.5,1,1,1,1,1,1
6,11,F,Y,Some,,,Y,Y,0,0,0,0,0,0,0,0,1,1,1,7,1,1,1,1.9,2,1,1,1,2,4,1.8,1,1,1,1,1,1
6,12,M,Y,Some,Teacher,College  Teacher,Y,Y,0,0,0,0,1,0,1,17,4,5,5,3,4,4,5,4.3,6,6,5,6,5,6,5.7,4,5,6,5,4,4.8
6,12,M,Y,Some,College,Doctor,Y,Y,0,0,1,0,0,0,1,17,1,1,1,1,2,1,1,1.1,1,1,1,1,1,1,1.0,1,1,2,1,1,1.2
6,11,M,Y,A little bit,"College, Budget Manager","College, Teacher",Y,Y,1,0,1,0,0,0,2,33,2,1,3,6,1,1,1,2.1,2,4,2,2,1,2,2.2,2,1,3,2,2,2
6,13,M,Y,Some,,High school,N,Y,,,,,,,0,0,1,1,1,7,1,1,1,1.9,1,1,1,1,1,1,1.0,1,1,1,1,1,1
6,12,M,Y,A lot,High School,College,Y,Y,,,,,,,0,0,4,4,4,3,4,3,2,3.4,2,1,2,1,1,1,1.3,4,2,2,4,3,3
6,12,M,Y,A little bit,High School,High School,N,Y,,,,,,,0,0,6,5,7,7,6,7,7,6.4,4,3,5,1,4,4,3.5,4,3,5,5,3,4
6,13,M,Y,Some,,,N,Y,,,,,,,0,0,4,4,3,4,4,7,4,4.3,4,5,4,4,4,7,4.7,7,7,7,7,7,7
6,12,M,Y,Some,,,N,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,,1,1,1.0,1,1,1,7,1,2.2
